Timestamp,Total P/L
2026-07-03 05:16:47,-2507.57
2026-07-03 05:16:59,-2506.95
2026-07-03 05:32:49,-2505.18
2026-07-06 07:40:57,-2501.37
2026-07-06 08:17:22,-2501.37
2026-07-06 08:20:37,-2501.37
2026-07-06 08:25:51,-2501.37
2026-07-06 08:26:04,-2501.37
2026-07-06 08:35:20,448.63
2026-07-06 08:35:32,448.63
2026-07-07 13:31:14,507.96
2026-07-07 13:31:27,507.96
2026-07-07 13:31:38,507.96
2026-07-07 13:31:50,507.96
2026-07-07 13:32:02,507.96
2026-07-07 13:32:14,507.96
2026-07-07 13:32:27,507.96
2026-07-07 13:32:38,507.96
2026-07-07 13:32:50,507.96
2026-07-07 13:45:47,507.96
2026-07-07 13:46:00,507.96
2026-07-07 13:46:12,507.96
2026-07-07 13:46:24,507.96
2026-07-07 13:46:37,507.96
2026-07-07 13:46:49,507.96
2026-07-07 13:47:01,507.96
2026-07-07 13:47:13,507.96
2026-07-07 13:47:24,507.96
2026-07-07 13:47:36,507.96
2026-07-07 13:47:48,507.96
2026-07-07 13:48:00,507.96
2026-07-07 13:48:12,507.96
2026-07-07 13:48:25,507.96
2026-07-07 13:48:37,507.96
2026-07-07 13:48:49,507.96
2026-07-07 13:49:01,507.96
2026-07-07 13:49:13,507.96
2026-07-07 13:49:25,507.96
2026-07-07 13:49:36,507.96
2026-07-07 13:49:48,507.96
2026-07-07 13:50:00,507.96
2026-07-07 13:50:12,507.96
2026-07-07 13:50:24,507.96
2026-07-07 13:50:35,507.96
2026-07-07 13:50:47,507.96
2026-07-07 13:50:59,507.96
2026-07-07 13:51:11,507.96
2026-07-07 13:51:23,507.96
2026-07-07 13:51:35,507.96
2026-07-07 13:51:47,507.96
2026-07-07 13:51:58,507.96
2026-07-07 13:52:11,507.96
2026-07-07 13:52:23,507.96
2026-07-07 13:52:34,507.96
2026-07-07 13:52:46,507.96
